Chrom	Start	End	Name	MaxInsertionLength
PvP01_01_v1	250117	250117	MAF40-1	
PvP01_01_v1	373581	373581	MAF40-2	
PvP01_01_v1	452062	452062	MAF40-3	
PvP01_01_v1	699113	699113	MAF40-4	
PvP01_01_v1	938263	938263	MAF40-5	
PvP01_01_v1	938264	938264	MAF40-6	
PvP01_01_v1	938308	938308	MAF40-7	
PvP01_01_v1	939311	939311	MAF40-8	
PvP01_01_v1	939325	939325	MAF40-9	
PvP01_01_v1	939335	939335	MAF40-10	
PvP01_01_v1	939370	939370	MAF40-11	
PvP01_01_v1	939387	939387	MAF40-12	
PvP01_01_v1	939390	939390	MAF40-13	
PvP01_01_v1	939404	939404	MAF40-14	
PvP01_01_v1	939409	939409	MAF40-15	
PvP01_02_v1	94070	94070	MAF40-16	
PvP01_02_v1	94076	94076	MAF40-17	
PvP01_02_v1	94081	94081	MAF40-18	
PvP01_02_v1	94100	94100	MAF40-19	
PvP01_02_v1	106649	106649	MAF40-20	
PvP01_02_v1	106652	106652	MAF40-21	
PvP01_02_v1	106834	106834	MAF40-22	
PvP01_02_v1	106855	106855	MAF40-23	
PvP01_02_v1	119820	119820	MAF40-24	
PvP01_02_v1	268787	268787	MAF40-25	
PvP01_02_v1	633620	633620	MAF40-26	
PvP01_02_v1	691972	691972	MAF40-27	
PvP01_02_v1	878317	878317	MAF40-28	
PvP01_02_v1	878330	878330	MAF40-29	
PvP01_02_v1	878972	878972	MAF40-30	
PvP01_02_v1	954357	954357	MAF40-31	
PvP01_02_v1	956116	956116	MAF40-32	
PvP01_02_v1	956154	956154	MAF40-33	
PvP01_02_v1	956159	956159	MAF40-34	
PvP01_02_v1	956200	956200	MAF40-35	
PvP01_02_v1	956206	956206	MAF40-36	
PvP01_02_v1	956227	956227	MAF40-37	
PvP01_02_v1	956264	956264	MAF40-38	
PvP01_02_v1	956289	956289	MAF40-39	
PvP01_03_v1	1429	1429	MAF40-40	
PvP01_03_v1	1602	1602	MAF40-41	
PvP01_03_v1	115049	115049	MAF40-42	
PvP01_03_v1	115051	115051	MAF40-43	
PvP01_03_v1	115072	115072	MAF40-44	
PvP01_03_v1	115785	115785	MAF40-45	
PvP01_03_v1	129838	129838	MAF40-46	
PvP01_03_v1	129839	129839	MAF40-47	
PvP01_03_v1	335009	335009	MAF40-48	
PvP01_03_v1	577541	577541	MAF40-49	
PvP01_03_v1	758420	758420	MAF40-50	
PvP01_03_v1	835571	835571	MAF40-51	
PvP01_04_v1	267465	267465	MAF40-52	
PvP01_04_v1	615854	615854	MAF40-53	
PvP01_04_v1	846371	846371	MAF40-54	
PvP01_04_v1	1010682	1010682	MAF40-55	
PvP01_04_v1	1010769	1010769	MAF40-56	
PvP01_04_v1	1011141	1011141	MAF40-57	
PvP01_04_v1	1011248	1011248	MAF40-58	
PvP01_04_v1	1011255	1011255	MAF40-59	
PvP01_04_v1	1011337	1011337	MAF40-60	
PvP01_04_v1	1011347	1011347	MAF40-61	
PvP01_04_v1	1011359	1011359	MAF40-62	
PvP01_04_v1	1011388	1011388	MAF40-63	
PvP01_04_v1	1011405	1011405	MAF40-64	
PvP01_04_v1	1011406	1011406	MAF40-65	
PvP01_04_v1	1011411	1011411	MAF40-66	
PvP01_04_v1	1011412	1011412	MAF40-67	
PvP01_04_v1	1011464	1011464	MAF40-68	
PvP01_04_v1	1011465	1011465	MAF40-69	
PvP01_04_v1	1011475	1011475	MAF40-70	
PvP01_04_v1	1011484	1011484	MAF40-71	
PvP01_04_v1	1011525	1011525	MAF40-72	
PvP01_04_v1	1011526	1011526	MAF40-73	
PvP01_04_v1	1011534	1011534	MAF40-74	
PvP01_04_v1	1011558	1011558	MAF40-75	
PvP01_04_v1	1011598	1011598	MAF40-76	
PvP01_05_v1	307010	307010	MAF40-77	
PvP01_05_v1	333836	333836	MAF40-78	
PvP01_05_v1	512545	512545	MAF40-79	
PvP01_05_v1	654769	654769	MAF40-80	
PvP01_05_v1	655348	655348	MAF40-81	
PvP01_05_v1	971878	971878	MAF40-82	
PvP01_05_v1	1491575	1491575	MAF40-83	
PvP01_05_v1	1491591	1491591	MAF40-84	
PvP01_05_v1	1491598	1491598	MAF40-85	
PvP01_06_v1	32326	32326	MAF40-86	
PvP01_06_v1	585180	585180	MAF40-87	
PvP01_06_v1	823638	823638	MAF40-88	
PvP01_06_v1	827484	827484	MAF40-89	
PvP01_06_v1	1017951	1017951	MAF40-90	
PvP01_06_v1	1030932	1030932	MAF40-91	
PvP01_07_v1	6755	6755	MAF40-92	
PvP01_07_v1	6770	6770	MAF40-93	
PvP01_07_v1	13372	13372	MAF40-94	
PvP01_07_v1	108683	108683	MAF40-95	
PvP01_07_v1	158572	158572	MAF40-96	
PvP01_07_v1	833006	833006	MAF40-97	
PvP01_07_v1	879240	879240	MAF40-98	
PvP01_07_v1	879324	879324	MAF40-99	
PvP01_07_v1	960644	960644	MAF40-100	
PvP01_07_v1	1133598	1133598	MAF40-101	
PvP01_07_v1	1172520	1172520	MAF40-102	
PvP01_07_v1	1175417	1175417	MAF40-103	
PvP01_07_v1	1401951	1401951	MAF40-104	
PvP01_07_v1	1415676	1415676	MAF40-105	
PvP01_07_v1	1419821	1419821	MAF40-106	
PvP01_07_v1	1429933	1429933	MAF40-107	
PvP01_07_v1	1438765	1438765	MAF40-108	
PvP01_07_v1	1446114	1446114	MAF40-109	
PvP01_07_v1	1448904	1448904	MAF40-110	
PvP01_07_v1	1483702	1483702	MAF40-111	
PvP01_07_v1	1483751	1483751	MAF40-112	
PvP01_07_v1	1484688	1484688	MAF40-113	
PvP01_07_v1	1484697	1484697	MAF40-114	
PvP01_07_v1	1484738	1484738	MAF40-115	
PvP01_07_v1	1484754	1484754	MAF40-116	
PvP01_07_v1	1484761	1484761	MAF40-117	
PvP01_07_v1	1484772	1484772	MAF40-118	
PvP01_07_v1	1484891	1484891	MAF40-119	
PvP01_07_v1	1484974	1484974	MAF40-120	
PvP01_07_v1	1484981	1484981	MAF40-121	
PvP01_07_v1	1484982	1484982	MAF40-122	
PvP01_07_v1	1485002	1485002	MAF40-123	
PvP01_07_v1	1485017	1485017	MAF40-124	
PvP01_07_v1	1485101	1485101	MAF40-125	
PvP01_07_v1	1485124	1485124	MAF40-126	
PvP01_07_v1	1485134	1485134	MAF40-127	
PvP01_08_v1	12262	12262	MAF40-128	
PvP01_08_v1	12265	12265	MAF40-129	
PvP01_08_v1	108538	108538	MAF40-130	
PvP01_08_v1	108540	108540	MAF40-131	
PvP01_08_v1	108586	108586	MAF40-132	
PvP01_08_v1	231680	231680	MAF40-133	
PvP01_08_v1	269330	269330	MAF40-134	
PvP01_08_v1	286825	286825	MAF40-135	
PvP01_08_v1	365038	365038	MAF40-136	
PvP01_08_v1	498626	498626	MAF40-137	
PvP01_08_v1	518610	518610	MAF40-138	
PvP01_08_v1	636683	636683	MAF40-139	
PvP01_08_v1	906751	906751	MAF40-140	
PvP01_08_v1	1445171	1445171	MAF40-141	
PvP01_08_v1	1694398	1694398	MAF40-142	
PvP01_08_v1	1760109	1760109	MAF40-143	
PvP01_09_v1	295723	295723	MAF40-144	
PvP01_09_v1	295736	295736	MAF40-145	
PvP01_09_v1	295747	295747	MAF40-146	
PvP01_09_v1	295750	295750	MAF40-147	
PvP01_09_v1	295756	295756	MAF40-148	
PvP01_09_v1	295786	295786	MAF40-149	
PvP01_09_v1	295814	295814	MAF40-150	
PvP01_09_v1	300754	300754	MAF40-151	
PvP01_09_v1	445579	445579	MAF40-152	
PvP01_09_v1	782131	782131	MAF40-153	
PvP01_09_v1	1121837	1121837	MAF40-154	
PvP01_09_v1	1202587	1202587	MAF40-155	
